Topic	Subtopic	URL
Backtracking 	n-Queens problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA45/problems/MDDYQ189
Backtracking 	Graph Coloring	https://www.codechef.com/learn/course/thapar-daa-2026/COLORGRAPH/problems/GRAPHCOLOR1
Backtracking 	River Crossing Puzzle	https://www.codechef.com/learn/course/thapar-daa-2026/RIVERCROSS/problems/RIVERCROSS0
Backtracking 	Math Crossword Puzzle	https://www.codechef.com/learn/course/thapar-daa-2026/MATHCROSS/problems/MATHCROSS1
Backtracking 	Practice Problems	https://www.codechef.com/learn/course/thapar-daa-2026/BACKTRACKPR/problems/REVSTACKREC
Graph Fundamentals & Traversal	Terminologies	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA25/problems/GRAPHBASICS
Graph Fundamentals & Traversal	Types of Graphs	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA26/problems/GRAPHTYPE1
Graph Fundamentals & Traversal	Graph Representation	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA27/problems/GRAPHDS
Graph Fundamentals & Traversal	Graph Traversals	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA28/problems/GRAPHTOUR
Graph Fundamentals & Traversal	Connected Components	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA29/problems/CCDEF
Graph Fundamentals & Traversal	Cycles in Graphs	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA30/problems/CYCLEDEF
Graph Fundamentals & Traversal	DFS	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA31/problems/DAA104
Graph Fundamentals & Traversal	BFS	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA32/problems/DAA110
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/TOPOSORTDEF
Graph Fundamentals & Traversal	Hamiltonian Circuit Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA46/problems/MDDYQ195
Graph Fundamentals & Traversal	Flow Network	https://www.codechef.com/learn/course/thapar-daa-2026/FLOWNETWORK/problems/FLOWNETMIN
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/GERALD07
Branch and Bound	Knapsack Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA48/problems/MDDYQ208
Branch and Bound	Traveling Salesman Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA49/problems/MDDYQ215
Branch and Bound	Assignment problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA50/problems/MDDYQ222
String matching algorithms	Boyer-Moore Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/BOYERMOORE1/problems/PATMAT01C
String matching algorithms	Rabin Karp Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/RABINKARP/problems/RABINKARP1
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP01
String matching algorithms	Suffix arrays	https://www.codechef.com/learn/course/thapar-daa-2026/SUFFIXARRAY1/problems/SUFFIXARR1
Greedy techniques	Basics of Greedy, and proofs	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA34/problems/MDDYQ132
