Days,Slot,Assessment Link,Assessment Code,Grant Permissions ,Wrong lab entered
Monday,8:00 to 9:40,https://www.codechef.com/skill-test/XZFTN,XZFTN,2C55,
,9:40 to 11:20,https://www.codechef.com/skill-test/A3W9W,A3W9W,"2Q24, 2Q25, 2P12",
,11:20 to 13:00,https://www.codechef.com/skill-test/X2035,X2035,"2C62, 2C65",
,13:50 to 15:30,https://www.codechef.com/skill-test/KGVYI,KGVYI,"2Q15, 2Q21",
,15:30 to 17:10,https://www.codechef.com/skill-test/DJ9B1,DJ9B1,"2C31, 2C74, 2C75",
,,,,,
Tuesday,8:00 to 9:40,https://www.codechef.com/skill-test/FME01,FME01,"2Q13, 2Q14,2QN/2DU",
,9:40 to 11:20,https://www.codechef.com/skill-test/X0SPG,X0SPG,"2C23, 2C25, 2C54, 2C73",
,11:20 to 13:00,https://www.codechef.com/skill-test/ZX4YG,ZX4YG,"2C82, 2Q41",
,13:50 to 15:30,https://www.codechef.com/skill-test/P8JOG,P8JOG,"2C17, 2C52, 2C53",
,15:30 to 17:10,https://www.codechef.com/skill-test/NZJDQ,NZJDQ,"2C33, 2C41",
,,,,,
Wednesday,8:00 to 9:40,https://www.codechef.com/skill-test/EH2MV,EH2MV,"2C42, 2C43",
,9:40 to 11:20,https://www.codechef.com/skill-test/XGT62,XGT62,"2C71, 2X14, 2X15",
,11:20 to 13:00,https://www.codechef.com/skill-test/JOYC1,JOYC1,"2C12, 2Q22",
,13:50 to 15:30,https://www.codechef.com/skill-test/TCOGB,TCOGB,"2C21, 2C22, 2C24",
,15:30 to 17:10,https://www.codechef.com/skill-test/IQ7GK,IQ7GK,"2Q33, 2Q34",
,,,,,
Thursday,8:00 to 9:40,https://www.codechef.com/skill-test/B6TCU,B6TCU,"2C51, 2C81",
,9:40 to 11:20,https://www.codechef.com/skill-test/QHAOR,QHAOR,"2C44, 2C45, 2C64,2NS1",
,11:20 to 13:00,https://www.codechef.com/skill-test/H7F9J,H7F9J,"2Q11, 2Q12, 2P14",
,13:50 to 15:30,https://www.codechef.com/skill-test/Y92RN,Y92RN,"2C61, 2C63",
,15:30 to 17:10,https://www.codechef.com/skill-test/VZITS,VZITS,"2C15, 2C16",
,,,,,
Friday,8:00 to 9:40,https://www.codechef.com/skill-test/OMIA6,OMIA6,"2C13, 2Q31, 2Q35",
,9:40 to 11:20,https://www.codechef.com/skill-test/GKZUB,GKZUB,"2C34, 2C72, 2X12, 2X13",
,11:20 to 13:00,https://www.codechef.com/skill-test/JWGO4,JWGO4,"2C11, 2C14, 2C18, 2P11",
,13:50 to 15:30,https://www.codechef.com/skill-test/FXQFI,FXQFI,"2C32, 2C35, 2X11",
,15:30 to 17:10,https://www.codechef.com/skill-test/NKR63,NKR63,"2Q23, 2Q32",
,13:50 to 15:30,https://www.codechef.com/skill-test/R2JY3,R2JY3,"2C32, 2C35, 2X11, 2P13",
,,,,,
,,,,,
Reserve Contest Code,XZFTNN,,,,
,FME011,,,,
,EH2MVV,,,,
