ContestCode	P1	P2	P3	P4	P5	P6	P7	P8
QHAOR	MAX_BIN	FBEBM01	THAPARMCQ3	THAPARMCQ13	THAPARMCQ25	THAPARMCQ30	THAPARMCQ2	
A3W9W	LINCHESS	FBEBM01	THAPARMCQ23	THAPARMCQ21	THAPARMCQ7	THAPARMCQ5	THAPARMCQ9	
VZITS	DBFBP	FINDPEAK	THAPARMCQ8	THAPARMCQ26	THAPARMCQ7	THAPARMCQ2	THAPARMCQ5	
P8JOG	BURGERS2	MATRIXCHAIN	THAPARMCQ21	THAPARMCQ15	THAPARMCQ3	THAPARMCQ9	THAPARMCQ29	
FXQFI	CHEFPRODUCT	MATRIXCHAIN	THAPARMCQ25	THAPARMCQ18	THAPARMCQ13	THAPARMCQ26	THAPARMCQ28	
OMIA6	KDELI	THAPARMCQ18	THAPARMCQ6	THAPARMCQ21	THAPARMCQ20	THAPARMCQ24	ARRAYREOR	
X0SPG	BURGERS2	MDDYQ138	THAPARMCQ21	THAPARMCQ29	THAPARMCQ5	THAPARMCQ16	THAPARMCQ6	
X2035	BURGERS2	THAPARMCQ27	THAPARMCQ26	THAPARMCQ4	THAPARMCQ3	THAPARMCQ11	JBSQNCE	
ZX4YG	MAXCOMP	THAPARMCQ20	THAPARMCQ15	THAPARMCQ22	THAPARMCQ25	THAPARMCQ21	JBSQNCE	
Y92RN	LINCHESS	DAA014	THAPARMCQ27	THAPARMCQ4	THAPARMCQ18	THAPARMCQ12	THAPARMCQ24	
XGT62	KDELI	NUTANIX10	THAPARMCQ23	THAPARMCQ5	THAPARMCQ12	THAPARMCQ10	THAPARMCQ30	
NZJDQ	CHESSGM	JBSQNCE	THAPARMCQ3	THAPARMCQ27	THAPARMCQ30	THAPARMCQ12	THAPARMCQ21	
DJ9B1	CHEFPRODUCT	MDDYQ174	THAPARMCQ29	THAPARMCQ27	THAPARMCQ16	THAPARMCQ28	THAPARMCQ7	
EH2MV	HILLSP	THAPARMCQ4	THAPARMCQ11	THAPARMCQ24	THAPARMCQ27	THAPARMCQ3	DAA014	
NKR63	CHEFNWRK	JBSQNCE	THAPARMCQ15	THAPARMCQ18	THAPARMCQ6	THAPARMCQ22	THAPARMCQ8	
JOYC1	J2	COCRZ01	THAPARMCQ11	THAPARMCQ10	THAPARMCQ21	THAPARMCQ17	THAPARMCQ14	
XZFTN	A1	MDDYQ167	THAPARMCQ25	THAPARMCQ11	THAPARMCQ21	THAPARMCQ1	THAPARMCQ13	DAA019
GKZUB	WAV2P	FBEBM01	THAPARMCQ13	THAPARMCQ8	THAPARMCQ29	THAPARMCQ11	THAPARMCQ22	
JWGO4	CHESSGM	MDDYQ138	THAPARMCQ19	THAPARMCQ24	THAPARMCQ9	THAPARMCQ26	THAPARMCQ10	
IQ7GK	CHESSGM	FINDPEAK	THAPARMCQ11	THAPARMCQ10	THAPARMCQ2	THAPARMCQ1	THAPARMCQ20	
B6TCU	J2	THAPARMCQ18	THAPARMCQ7	THAPARMCQ29	THAPARMCQ15	THAPARMCQ3	ARRAYREOR	
FME01	HILLSP	FINDPEAK	THAPARMCQ15	THAPARMCQ11	THAPARMCQ4	THAPARMCQ14	THAPARMCQ29	
KGVYI	CHEFNWRK	MATRIXCHAIN	THAPARMCQ20	THAPARMCQ13	THAPARMCQ15	THAPARMCQ14	THAPARMCQ24	
TCOGB	MAXCOMP	MDDYQ167	THAPARMCQ6	THAPARMCQ15	THAPARMCQ27	THAPARMCQ9	THAPARMCQ14	
H7F9J	J2	ARRAYREOR	THAPARMCQ16	THAPARMCQ4	THAPARMCQ27	THAPARMCQ7	THAPARMCQ10	
