2C73		
	DO NOT EDIT COL DATA CodechefURLs	
Roll	CodingProblem1	CodingProblem2
1024031036	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=MDDYQ138&handle=ngupta4_be24&Submit=GO	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=BURGERS2&handle=ngupta4_be24&Submit=GO
1024031037	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=MDDYQ138&handle=kmittal1_be24&Submit=GO	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=BURGERS2&handle=kmittal1_be24&Submit=GO
1024031038	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=MDDYQ138&handle=rdhingra_be24&Submit=GO	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=BURGERS2&handle=rdhingra_be24&Submit=GO
1024031039	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=MDDYQ138&handle=vtamhanekar_be&Submit=GO	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=BURGERS2&handle=vtamhanekar_be&Submit=GO
1024031040	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=MDDYQ138&handle=pmalhotra_be24&Submit=GO	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=BURGERS2&handle=pmalhotra_be24&Submit=GO
1024031041	https://www.codechef.com/moderate/solutions/JWGO4?sort_by=All&sorting_order=asc&language=All&status=All&pcode=MDDYQ138&handle=ramola_be24&Submit=GO	https://www.codechef.com/moderate/solutions/JWGO4?sort_by=All&sorting_order=asc&language=All&status=All&pcode=BURGERS2&handle=ramola_be24&Submit=GO
1024031042	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=MDDYQ138&handle=aagnihotri_be2&Submit=GO	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=BURGERS2&handle=aagnihotri_be2&Submit=GO
1024031045	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=MDDYQ138&handle=pdeshmukh_be24&Submit=GO	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=BURGERS2&handle=pdeshmukh_be24&Submit=GO
1024031046	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=MDDYQ138&handle=ikumar_be24&Submit=GO	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=BURGERS2&handle=ikumar_be24&Submit=GO
1024031047	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=MDDYQ138&handle=sagarwal2_be24&Submit=GO	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=BURGERS2&handle=sagarwal2_be24&Submit=GO
1024031048	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=MDDYQ138&handle=snarula_be24&Submit=GO	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=BURGERS2&handle=snarula_be24&Submit=GO
1024031049	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=MDDYQ138&handle=srathore_be24&Submit=GO	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=BURGERS2&handle=srathore_be24&Submit=GO
1024031072	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=MDDYQ138&handle=apandey2_be24&Submit=GO	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=BURGERS2&handle=apandey2_be24&Submit=GO
1024031169	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=MDDYQ138&handle=ngupta2_be24&Submit=GO	https://www.codechef.com/moderate/solutions/X0SPG?sort_by=All&sorting_order=asc&language=All&status=All&pcode=BURGERS2&handle=ngupta2_be24&Submit=GO
1024031170	https://www.codechef.com/moderate/solutions/OMIA6?sort_by=All&sorting_order=asc&language=All&status=All&pcode=MDDYQ138&handle=gbansal1_be24&Submit=GO	https://www.codechef.com/moderate/solutions/OMIA6?sort_by=All&sorting_order=asc&language=All&status=All&pcode=BURGERS2&handle=gbansal1_be24&Submit=GO
